,collision_hour,killed_victims,year_option
0,0,3047.0,all
1,1,3160.0,all
2,2,3222.0,all
3,3,2161.0,all
4,4,1975.0,all
5,5,2569.0,all
6,6,2582.0,all
7,7,2141.0,all
8,8,1864.0,all
9,9,1880.0,all
10,10,2033.0,all
11,11,2423.0,all
12,12,2619.0,all
13,13,2804.0,all
14,14,3078.0,all
15,15,3325.0,all
16,16,3382.0,all
17,17,4132.0,all
18,18,4276.0,all
19,19,3987.0,all
20,20,4175.0,all
21,21,4092.0,all
22,22,3567.0,all
23,23,3294.0,all
24,0,163.0,2001
25,1,170.0,2001
26,2,107.0,2001
27,3,115.0,2001
28,4,105.0,2001
29,5,130.0,2001
30,6,161.0,2001
31,7,130.0,2001
32,8,102.0,2001
33,9,117.0,2001
34,10,106.0,2001
35,11,155.0,2001
36,12,143.0,2001
37,13,173.0,2001
38,14,171.0,2001
39,15,213.0,2001
40,16,190.0,2001
41,17,257.0,2001
42,18,197.0,2001
43,19,234.0,2001
44,20,224.0,2001
45,21,179.0,2001
46,22,184.0,2001
47,23,140.0,2001
48,0,161.0,2002
49,1,169.0,2002
50,2,163.0,2002
51,3,121.0,2002
52,4,92.0,2002
53,5,135.0,2002
54,6,135.0,2002
55,7,123.0,2002
56,8,106.0,2002
57,9,114.0,2002
58,10,98.0,2002
59,11,148.0,2002
60,12,175.0,2002
61,13,171.0,2002
62,14,186.0,2002
63,15,198.0,2002
64,16,215.0,2002
65,17,244.0,2002
66,18,229.0,2002
67,19,212.0,2002
68,20,232.0,2002
69,21,231.0,2002
70,22,195.0,2002
71,23,186.0,2002
72,0,180.0,2003
73,1,165.0,2003
74,2,175.0,2003
75,3,96.0,2003
76,4,101.0,2003
77,5,118.0,2003
78,6,127.0,2003
79,7,140.0,2003
80,8,116.0,2003
81,9,115.0,2003
82,10,123.0,2003
83,11,151.0,2003
84,12,161.0,2003
85,13,183.0,2003
86,14,190.0,2003
87,15,227.0,2003
88,16,247.0,2003
89,17,262.0,2003
90,18,241.0,2003
91,19,206.0,2003
92,20,207.0,2003
93,21,247.0,2003
94,22,201.0,2003
95,23,186.0,2003
96,0,161.0,2004
97,1,160.0,2004
98,2,176.0,2004
99,3,128.0,2004
100,4,104.0,2004
101,5,128.0,2004
102,6,140.0,2004
103,7,118.0,2004
104,8,110.0,2004
105,9,92.0,2004
106,10,118.0,2004
107,11,137.0,2004
108,12,170.0,2004
109,13,158.0,2004
110,14,189.0,2004
111,15,229.0,2004
112,16,215.0,2004
113,17,240.0,2004
114,18,239.0,2004
115,19,214.0,2004
116,20,222.0,2004
117,21,243.0,2004
118,22,202.0,2004
119,23,147.0,2004
120,0,184.0,2005
121,1,212.0,2005
122,2,214.0,2005
123,3,127.0,2005
124,4,105.0,2005
125,5,132.0,2005
126,6,156.0,2005
127,7,132.0,2005
128,8,106.0,2005
129,9,114.0,2005
130,10,120.0,2005
131,11,128.0,2005
132,12,154.0,2005
133,13,167.0,2005
134,14,216.0,2005
135,15,213.0,2005
136,16,203.0,2005
137,17,248.0,2005
138,18,235.0,2005
139,19,210.0,2005
140,20,223.0,2005
141,21,235.0,2005
142,22,220.0,2005
143,23,193.0,2005
144,0,167.0,2006
145,1,174.0,2006
146,2,200.0,2006
147,3,124.0,2006
148,4,101.0,2006
149,5,119.0,2006
150,6,135.0,2006
151,7,107.0,2006
152,8,102.0,2006
153,9,83.0,2006
154,10,118.0,2006
155,11,146.0,2006
156,12,142.0,2006
157,13,191.0,2006
158,14,166.0,2006
159,15,172.0,2006
160,16,209.0,2006
161,17,209.0,2006
162,18,209.0,2006
163,19,216.0,2006
164,20,235.0,2006
165,21,228.0,2006
166,22,197.0,2006
167,23,182.0,2006
168,0,156.0,2007
169,1,177.0,2007
170,2,195.0,2007
171,3,101.0,2007
172,4,103.0,2007
173,5,135.0,2007
174,6,137.0,2007
175,7,127.0,2007
176,8,101.0,2007
177,9,106.0,2007
178,10,93.0,2007
179,11,144.0,2007
180,12,137.0,2007
181,13,166.0,2007
182,14,189.0,2007
183,15,212.0,2007
184,16,193.0,2007
185,17,216.0,2007
186,18,230.0,2007
187,19,188.0,2007
188,20,226.0,2007
189,21,211.0,2007
190,22,177.0,2007
191,23,184.0,2007
192,0,123.0,2008
193,1,153.0,2008
194,2,189.0,2008
195,3,87.0,2008
196,4,93.0,2008
197,5,102.0,2008
198,6,102.0,2008
199,7,102.0,2008
200,8,91.0,2008
201,9,96.0,2008
202,10,91.0,2008
203,11,114.0,2008
204,12,141.0,2008
205,13,152.0,2008
206,14,148.0,2008
207,15,173.0,2008
208,16,144.0,2008
209,17,164.0,2008
210,18,214.0,2008
211,19,158.0,2008
212,20,202.0,2008
213,21,170.0,2008
214,22,171.0,2008
215,23,170.0,2008
216,0,139.0,2009
217,1,138.0,2009
218,2,146.0,2009
219,3,98.0,2009
220,4,84.0,2009
221,5,125.0,2009
222,6,95.0,2009
223,7,91.0,2009
224,8,85.0,2009
225,9,79.0,2009
226,10,88.0,2009
227,11,107.0,2009
228,12,99.0,2009
229,13,141.0,2009
230,14,128.0,2009
231,15,144.0,2009
232,16,125.0,2009
233,17,188.0,2009
234,18,182.0,2009
235,19,169.0,2009
236,20,173.0,2009
237,21,147.0,2009
238,22,128.0,2009
239,23,138.0,2009
240,0,107.0,2010
241,1,112.0,2010
242,2,156.0,2010
243,3,86.0,2010
244,4,73.0,2010
245,5,94.0,2010
246,6,110.0,2010
247,7,78.0,2010
248,8,84.0,2010
249,9,69.0,2010
250,10,83.0,2010
251,11,86.0,2010
252,12,94.0,2010
253,13,103.0,2010
254,14,108.0,2010
255,15,106.0,2010
256,16,120.0,2010
257,17,179.0,2010
258,18,156.0,2010
259,19,174.0,2010
260,20,147.0,2010
261,21,150.0,2010
262,22,99.0,2010
263,23,122.0,2010
264,0,105.0,2011
265,1,147.0,2011
266,2,151.0,2011
267,3,96.0,2011
268,4,68.0,2011
269,5,92.0,2011
270,6,88.0,2011
271,7,80.0,2011
272,8,74.0,2011
273,9,86.0,2011
274,10,84.0,2011
275,11,121.0,2011
276,12,111.0,2011
277,13,90.0,2011
278,14,144.0,2011
279,15,124.0,2011
280,16,126.0,2011
281,17,162.0,2011
282,18,163.0,2011
283,19,136.0,2011
284,20,137.0,2011
285,21,152.0,2011
286,22,131.0,2011
287,23,118.0,2011
288,0,128.0,2012
289,1,134.0,2012
290,2,125.0,2012
291,3,92.0,2012
292,4,59.0,2012
293,5,96.0,2012
294,6,105.0,2012
295,7,111.0,2012
296,8,99.0,2012
297,9,84.0,2012
298,10,81.0,2012
299,11,111.0,2012
300,12,112.0,2012
301,13,82.0,2012
302,14,136.0,2012
303,15,140.0,2012
304,16,118.0,2012
305,17,175.0,2012
306,18,188.0,2012
307,19,174.0,2012
308,20,177.0,2012
309,21,154.0,2012
310,22,130.0,2012
311,23,132.0,2012
312,0,124.0,2013
313,1,132.0,2013
314,2,139.0,2013
315,3,95.0,2013
316,4,86.0,2013
317,5,111.0,2013
318,6,102.0,2013
319,7,84.0,2013
320,8,107.0,2013
321,9,82.0,2013
322,10,99.0,2013
323,11,108.0,2013
324,12,103.0,2013
325,13,144.0,2013
326,14,104.0,2013
327,15,139.0,2013
328,16,141.0,2013
329,17,180.0,2013
330,18,184.0,2013
331,19,159.0,2013
332,20,181.0,2013
333,21,182.0,2013
334,22,155.0,2013
335,23,112.0,2013
336,0,151.0,2014
337,1,121.0,2014
338,2,153.0,2014
339,3,85.0,2014
340,4,88.0,2014
341,5,116.0,2014
342,6,116.0,2014
343,7,96.0,2014
344,8,70.0,2014
345,9,81.0,2014
346,10,78.0,2014
347,11,93.0,2014
348,12,113.0,2014
349,13,105.0,2014
350,14,125.0,2014
351,15,124.0,2014
352,16,138.0,2014
353,17,203.0,2014
354,18,195.0,2014
355,19,187.0,2014
356,20,164.0,2014
357,21,164.0,2014
358,22,167.0,2014
359,23,131.0,2014
360,0,153.0,2015
361,1,134.0,2015
362,2,158.0,2015
363,3,105.0,2015
364,4,103.0,2015
365,5,129.0,2015
366,6,150.0,2015
367,7,97.0,2015
368,8,83.0,2015
369,9,78.0,2015
370,10,106.0,2015
371,11,78.0,2015
372,12,116.0,2015
373,13,136.0,2015
374,14,149.0,2015
375,15,138.0,2015
376,16,136.0,2015
377,17,169.0,2015
378,18,226.0,2015
379,19,182.0,2015
380,20,218.0,2015
381,21,204.0,2015
382,22,189.0,2015
383,23,138.0,2015
384,0,189.0,2016
385,1,186.0,2016
386,2,175.0,2016
387,3,130.0,2016
388,4,114.0,2016
389,5,157.0,2016
390,6,139.0,2016
391,7,110.0,2016
392,8,92.0,2016
393,9,102.0,2016
394,10,98.0,2016
395,11,113.0,2016
396,12,122.0,2016
397,13,130.0,2016
398,14,138.0,2016
399,15,142.0,2016
400,16,204.0,2016
401,17,198.0,2016
402,18,234.0,2016
403,19,209.0,2016
404,20,232.0,2016
405,21,218.0,2016
406,22,174.0,2016
407,23,178.0,2016
408,0,150.0,2017
409,1,155.0,2017
410,2,160.0,2017
411,3,130.0,2017
412,4,138.0,2017
413,5,154.0,2017
414,6,125.0,2017
415,7,99.0,2017
416,8,86.0,2017
417,9,104.0,2017
418,10,129.0,2017
419,11,117.0,2017
420,12,128.0,2017
421,13,116.0,2017
422,14,151.0,2017
423,15,157.0,2017
424,16,166.0,2017
425,17,225.0,2017
426,18,253.0,2017
427,19,203.0,2017
428,20,248.0,2017
429,21,233.0,2017
430,22,207.0,2017
431,23,189.0,2017
432,0,156.0,2018
433,1,180.0,2018
434,2,155.0,2018
435,3,99.0,2018
436,4,103.0,2018
437,5,159.0,2018
438,6,150.0,2018
439,7,94.0,2018
440,8,74.0,2018
441,9,92.0,2018
442,10,109.0,2018
443,11,138.0,2018
444,12,130.0,2018
445,13,126.0,2018
446,14,128.0,2018
447,15,154.0,2018
448,16,158.0,2018
449,17,211.0,2018
450,18,215.0,2018
451,19,246.0,2018
452,20,240.0,2018
453,21,223.0,2018
454,22,190.0,2018
455,23,204.0,2018
456,0,162.0,2019
457,1,160.0,2019
458,2,134.0,2019
459,3,114.0,2019
460,4,121.0,2019
461,5,169.0,2019
462,6,152.0,2019
463,7,119.0,2019
464,8,94.0,2019
465,9,79.0,2019
466,10,92.0,2019
467,11,127.0,2019
468,12,139.0,2019
469,13,122.0,2019
470,14,130.0,2019
471,15,137.0,2019
472,16,137.0,2019
473,17,183.0,2019
474,18,221.0,2019
475,19,208.0,2019
476,20,220.0,2019
477,21,240.0,2019
478,22,207.0,2019
479,23,193.0,2019
480,0,164.0,2020
481,1,161.0,2020
482,2,133.0,2020
483,3,120.0,2020
484,4,119.0,2020
485,5,138.0,2020
486,6,128.0,2020
487,7,91.0,2020
488,8,68.0,2020
489,9,91.0,2020
490,10,106.0,2020
491,11,79.0,2020
492,12,103.0,2020
493,13,126.0,2020
494,14,150.0,2020
495,15,154.0,2020
496,16,170.0,2020
497,17,182.0,2020
498,18,213.0,2020
499,19,252.0,2020
500,20,225.0,2020
501,21,248.0,2020
502,22,198.0,2020
503,23,210.0,2020
504,0,24.0,2021
505,1,20.0,2021
506,2,18.0,2021
507,3,12.0,2021
508,4,15.0,2021
509,5,30.0,2021
510,6,29.0,2021
511,7,12.0,2021
512,8,14.0,2021
513,9,16.0,2021
514,10,13.0,2021
515,11,22.0,2021
516,12,26.0,2021
517,13,22.0,2021
518,14,32.0,2021
519,15,29.0,2021
520,16,27.0,2021
521,17,37.0,2021
522,18,52.0,2021
523,19,50.0,2021
524,20,42.0,2021
525,21,33.0,2021
526,22,45.0,2021
527,23,41.0,2021
